Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),MC SW Force Control - Actual Acceleration(m/s^2),MC SW Overview - Actual Velocity(m/s),
0.624,-67.4376,-6,-5.973,-0.297866,
0.626,-68.037,-7.2,-0.785,-0.301155,
0.628,-68.629,-8.1,5.858,-0.290755,
0.63,-69.2314,-8.2,0.259,-0.295644,
0.632,-69.8045,-9.4,6.339,-0.284266,
0.634,-70.3374,-10.9,5.257,-0.271822,
0.636,-70.8196,-33.8,18.071,-0.231199,
0.638,-71.1388,-52,52.581,-0.129688,
0.64,-71.2724,-52.1,42.92,-0.040088,
0.642,-71.198,-52.1,46.967,0.055288,
0.644,-71.0002,-45.3,19.119,0.0912,
0.646,-70.8122,-32.6,0.444,0.090044,
0.648,-70.6523,-25.3,-1.408,0.088444,
0.65,-70.5852,-20.7,-33.035,0.029777,
0.652,-70.5632,-19.8,-15.329,0.002133,
0.654,-70.5412,-18.7,0.412,0.001688,
0.656,-70.5406,-18.9,2.026,-0.000533,
0.658,-70.5107,-18.7,15.778,0.023911,
0.66,-70.4704,-16,-3.571,0.023911,
0.662,-70.3905,-13,7.471,0.043911,
0.664,-70.2641,-9.9,13.364,0.067288,
0.666,-70.1097,-8.3,8.53,0.080266,
0.668,-69.9004,-7.7,14.232,0.111199,
0.67,-69.6562,-7.2,5.147,0.128622,
0.672,-69.3724,-6.5,10.615,0.147022,
0.674,-69.0453,-6,15.392,0.171377,
0.676,-68.6821,-4.9,13.842,0.186666,
0.678,-68.2927,-4.1,3.155,0.190933,
0.68,-67.86,-4.7,9.112,0.216977,
0.682,-67.3967,-3.5,4.36,0.234933,
0.684,-66.9322,-4,1.998,0.243644,
0.686,-66.4409,-3.1,0.622,0.245777,
0.688,-65.9685,-2.7,-10.126,0.226755,
0.69,-65.4936,-3.5,6.492,0.235466,
0.692,-65.0401,-2.8,-5.299,0.224622,
0.694,-64.6477,-3.8,-17.544,0.203466,
0.696,-64.2918,-2.9,-15.126,0.174222,
0.698,-64.0312,-2.7,-29.108,0.110133,
0.7,-63.8255,-3.2,-7.535,0.087911,
